epoch,train_loss,val_loss,lr,ema_momentum,imgsz,mask_ratio
1,0.3595023828583795,0.2023234108541033,5e-06,0.9960007401594514,256,0.35
2,0.08399734672378091,0.025037457449349848,1e-05,0.9960029599073575,256,0.35
3,0.027441272981737302,0.016414156098396835,1.5000000000000002e-05,0.9960066570530953,256,0.35
4,0.02596661686328712,0.016326341843126008,2e-05,0.9960118279480282,256,0.35
5,0.0256906368750457,0.016283686974546203,2.5e-05,0.9960184674891073,256,0.35
6,0.025693655042466373,0.01630362638022651,3.0000000000000004e-05,0.996026569123907,256,0.35
7,0.02585485552353207,0.01629225267724547,3.5e-05,0.9960361248570919,256,0.35
8,0.025865935028452185,0.01647333934514995,4e-05,0.9960471252583071,256,0.35
9,0.02588212195019843,0.01625035310772353,4.5e-05,0.9960595594714846,256,0.35
10,0.025661861143165248,0.016216885331625255,5e-05,0.9960734152255573,256,0.35
11,0.026027495564451657,0.01616044606648982,4.998507526196785e-05,0.9960886788465687,256,0.35
12,0.025701803491348683,0.016251591688644478,4.994031923136569e-05,0.9961053352711676,256,0.35
13,0.025797282559693522,0.01632794345997681,4.98657864365227e-05,0.9961233680614741,256,0.35
14,0.025585898546137756,0.016274806061165534,4.976156768416848e-05,0.9961427594213009,256,0.35
15,0.025901606066569993,0.016282462501919708,4.96277899487991e-05,0.9961634902137174,256,0.35
16,0.02571999119899705,0.016203728467794054,4.946461621797824e-05,0.9961855399799342,256,0.35
17,0.025817782560952705,0.016190389678914105,4.927224529376191e-05,0.996208886959494,256,0.35
18,0.025743582216942822,0.01623110382982176,4.905091155048882e-05,0.9962335081117469,256,0.35
19,0.025523453968649638,0.016168755490990804,4.8800884649231264e-05,0.9962593791385882,256,0.35
20,0.025467102260984753,0.016281945254592155,4.852246920925476e-05,0.9962864745084375,256,0.35
21,0.02553082802977016,0.01629213723111448,4.82160044368863e-05,0.9963147674814364,256,0.35
22,0.025691272817635006,0.016087823839718535,4.788186371224372e-05,0.9963442301358363,256,0.35
23,0.025396018729964196,0.016188004728657546,4.7520454134329594e-05,0.9963748333955543,256,0.35
24,0.02550361842414533,0.016185484395813306,4.7132216025043714e-05,0.9964065470588679,256,0.35
25,0.02556814723640728,0.016241572284893507,4.671762239271875e-05,0.9964393398282202,256,0.35
26,0.02542099386027204,0.01613225112166232,4.6277178355832434e-05,0.996473179341107,256,0.35
27,0.025472154029436256,0.01622661178413272,4.581142052759852e-05,0.9965080322020146,256,0.35
28,0.02535639794421973,0.016007346617060287,4.532091636218621e-05,0.996543864015377,256,0.35
29,0.025336025043469164,0.016151854599171626,4.480626346336469e-05,0.9965806394195206,256,0.35
30,0.025416175322237,0.016073559928008532,4.426808885641496e-05,0.9966183221215613,256,0.35
31,0.025276571560787282,0.01616688266756271,4.370704822419616e-05,0.9966568749332217,256,0.35
32,0.02538542886322367,0.01604320596089395,4.3123825108296954e-05,0.9966962598075315,256,0.35
33,0.02527731072589968,0.016208095162434755,4.251913007624543e-05,0.9967364378763744,256,0.35
34,0.025110184668381188,0.016034497143381204,4.1893699855792026e-05,0.9967773694888474,256,0.35
35,0.02512550602159174,0.01608057186158973,4.1248296437320216e-05,0.9968190142503907,256,0.35
36,0.025371732700183773,0.016161572123052886,4.0583706145478626e-05,0.9968613310626524,256,0.35
37,0.025161805233676785,0.01616115126465335,3.990073868116559e-05,0.9969042781640478,256,0.35
38,0.02500434776913191,0.016182573165465265,3.92002261350333e-05,0.996947813170973,256,0.35
39,0.025054912854264384,0.01602847872626183,3.848302197371352e-05,0.9969918931196321,256,0.35
