epoch,train_loss,val_loss,lr,imgsz,mask_ratio
1,0.23796364295463684,0.1985142990246207,0.0001,256,0.4
2,0.2188057677071121,0.20805344441870116,0.0001,256,0.4
3,0.21985299839313913,0.2105749079619157,0.0001,256,0.4
4,0.21567867765934554,0.20868494871913856,0.0001,256,0.4
5,0.21510918947774768,0.2112023109212764,0.0001,256,0.4
6,0.21486481985340816,0.20875033770310378,0.0001,256,0.4
7,0.21080336183167414,0.207761258379174,0.0001,256,0.4
8,0.21035093793050283,0.2092037173283903,0.0001,256,0.4
9,0.21202974076869946,0.21183956716460528,0.0001,256,0.4
10,0.21363771672468687,0.2134849905891976,0.0001,256,0.4
11,0.2127600585618345,0.21117489638216463,0.0001,256,0.4
12,0.21249790728945042,0.21158608131517753,0.0001,256,0.4
13,0.2134084299941131,0.213556024765423,0.0001,256,0.4
14,0.21477874500383823,0.21500308673445423,0.0001,256,0.4
15,0.21666360287105335,0.21688572263399558,0.0001,256,0.4
16,0.21834305176105712,0.218374562062787,0.0001,256,0.4
17,0.21982547047596857,0.22029754835662574,0.0001,256,0.4
18,0.22197747428580195,0.2219821337369073,0.0001,256,0.4
19,0.22350341058876633,0.22453727047734218,0.0001,256,0.4
20,0.22566526043206594,0.22629739756884085,0.0001,256,0.4
21,0.22785522571049738,0.22857260664278853,0.0001,256,0.4
22,0.23013668770062337,0.2307914637474123,0.0001,256,0.4
23,0.23208229535145297,0.23335838054686672,0.0001,256,0.4
24,0.2342602866158387,0.23509687719229974,0.0001,256,0.4
25,0.236630657490562,0.23712082871790913,0.0001,256,0.4
26,0.23829939855301133,0.2392260940246085,0.0001,256,0.4
27,0.24042834884980147,0.24136604654592056,0.0001,256,0.4
28,0.2426169811921203,0.24342321800458538,0.0001,256,0.4
29,0.24451299301202042,0.24544814321788777,0.0001,256,0.4
30,0.2465251304671192,0.24735274312608274,0.0001,256,0.4
31,0.2485090822786898,0.2493116824758704,0.0001,256,0.4
32,0.2513403714461243,0.25124824728717343,0.0001,256,0.4
33,0.25205131435621714,0.2529126222433553,0.0001,256,0.4
34,0.2538168296904935,0.2545686252083833,0.0001,256,0.4
35,0.25561006666177405,0.2564100098276684,0.0001,256,0.4
