epoch,train_loss,train_bce_loss,train_dice_loss,train_dice,train_iou,train_precision,train_recall,train_hd95,train_asd,val_loss,val_bce_loss,val_dice_loss,val_dice,val_iou,val_precision,val_recall,val_hd95,val_asd
1,0.8308258921997725,0.5414284811016107,0.9218798031867593,0.09394575575966632,0.05191061508444481,0.052571439108038985,0.9028144967822644,119.9680631358597,63.24492964357943,0.7930140163574315,0.5385511113659702,0.8807719951966515,0.21105445484535434,0.13236050880064867,0.1636463151691556,0.6064957095773216,86.1805036543588,39.3200215677597
2,0.7386519559426603,0.44457278792259236,0.8400146197628331,0.20176731108060192,0.12306800442696617,0.1320394970057687,0.6981564246383866,91.35332093731587,40.314212101252544,0.9048278611224367,0.9152450714321876,0.9072738378444802,0.10665464143730471,0.07290354700736527,0.18825078831655861,0.13306903716002969,28.974081841024088,16.26220071542975
3,0.699700237050155,0.48780196664443265,0.7822647535744077,0.25723358491140164,0.16478687924928392,0.18384645627224985,0.6373220265105428,84.2099811311367,35.203426137296496,1.0282896042173064,1.4253016260690428,0.9292173252323834,0.07555631374301874,0.052326490321835055,0.1413689576641693,0.08727059128878714,16.21823309670561,8.902733883000389
4,0.6500256202368744,0.5171558900672605,0.7130204584716044,0.3238230344305055,0.21962537570181934,0.24823704043525455,0.6377683752020686,75.92712111814222,30.132054556439524,0.6285656539124486,0.5990521517053266,0.659484376068188,0.3798063334793997,0.2660730666536654,0.3351695740274588,0.5970604690059093,64.11374222277989,24.855601231963995
5,0.5881638925007303,0.5143458858013911,0.634934783323012,0.39789263290216303,0.28381982943711015,0.3284418271209815,0.6653211691144212,64.54746078565503,24.119997519889584,0.5542139171266495,0.5768563058676986,0.5641350639366286,0.4748598454555953,0.36283649511320815,0.4673790136015567,0.5962838822419178,36.511277902232344,14.428175724219185
6,0.5285278313773993,0.48788621924189773,0.5650455724643411,0.46467393637684207,0.3453024940786199,0.3989234616154441,0.700793278701174,51.9318171201715,18.731042774000304,0.4691303749172327,0.49547861725224474,0.482146276755133,0.546321354240118,0.4257202337413388,0.5125528133465223,0.692924265684583,34.825000637671245,12.772096705595754
7,0.4942294514662511,0.4768896965277403,0.5235543598999848,0.5041940381239244,0.38504597455602807,0.44377144525073314,0.7199738274075611,45.011249402672384,16.228969707710753,0.467164258035953,0.409001502230896,0.5142730663055992,0.5092315947538627,0.38435801702393235,0.4259898366387289,0.7672896238348467,48.04129383797264,16.66291333312758
8,0.4610640856249344,0.434011794798467,0.4922774420065038,0.5315535168854781,0.41123311704146476,0.4682482078967493,0.7452715833940406,41.8982940663973,14.659668127521991,0.4747273498031357,0.3455745033171913,0.5415884154118606,0.4650816892892184,0.3475894066712949,0.3712460188571253,0.8379240150793897,55.1125665798575,20.14417221737029
9,0.44021354297054593,0.4228563776965266,0.46835514596990635,0.5532238673306245,0.43297641501904977,0.48892719209754937,0.756529759066235,40.01426229340473,13.817736715798537,0.4335659075873931,0.4569354845350549,0.45046034390923334,0.5642818220944676,0.44342071417616485,0.5110545755501822,0.741745071511679,32.29563463173494,11.742400333493608
10,0.42395651156174546,0.4123287899481852,0.45002571624868054,0.5706598349917638,0.45035563570259646,0.5100886591290513,0.7711769921429896,37.88950780275706,12.939837009614905,0.4465153197813519,0.53880379879859,0.43650584678334836,0.5853055931859245,0.46133406386328885,0.5766641754037398,0.6956975541827158,29.471910970183764,9.512241834644442
11,0.40547802366304475,0.38845193742615997,0.43232935447192533,0.5865708527464764,0.46603653718364696,0.5237029221838739,0.7804289882720513,36.01468824267577,12.304835369969778,0.4319652439754224,0.3127186021245685,0.4966224378218645,0.510110769857486,0.3810565299918154,0.4100346308037316,0.8474891150227587,52.967954496567856,18.066486467816777
12,0.3967087549606075,0.37948120030765503,0.42354664808236925,0.594144070244121,0.4737403738148812,0.5305065969290234,0.7865779373539636,35.73460370508779,12.093494678529154,0.38356673415499387,0.3945159900346546,0.39699258268106696,0.6235727345612453,0.5029960047933298,0.5912464204258386,0.7620540557907562,25.169065775986397,8.209063523114105
13,0.3783460531164618,0.3515055843283954,0.4071520002164977,0.6092348756960628,0.4882637940251353,0.5462360773851623,0.796298475308197,34.151638548286996,11.198379099880759,0.38779045390545036,0.4647177092226878,0.38274250703057916,0.6289544427244781,0.5158549332648278,0.5955910828377009,0.7396003123042677,22.759227756472374,7.735874690749745
14,0.37007337596818257,0.343696828091751,0.39826457128994797,0.6174038203454187,0.4976993866604311,0.5533413986893396,0.8003959424861287,32.94078770798227,10.976454710121754,0.3819825241514961,0.36416154962833003,0.4045575428493747,0.619356581233362,0.5022175259807817,0.5813033318341293,0.8019375493248945,27.4982547876644,9.785104939015879
15,0.35743016797711624,0.32851813063055085,0.38622792890985364,0.6288109529454093,0.5078396660293647,0.5660501246891912,0.8131133342499379,32.38705308695097,10.485365531374427,0.3502656619290536,0.3955570263468591,0.35134805400004987,0.6621375210481244,0.5469162546108819,0.6396210527650126,0.7780331501264114,24.261102061865444,7.873210495676291
16,0.3465687525717746,0.32315444487527556,0.3733214525425946,0.6412045505018805,0.5212777479908681,0.5787722996277784,0.8189101258644227,30.82866715221223,10.005655306492397,0.3343196488642329,0.2820440922973836,0.3720130474322027,0.6433945597484223,0.5206264799623452,0.5669124386359,0.8415901581867583,28.828673950447364,9.365219099548902
17,0.34276545214776205,0.31925322394373873,0.3694670681165019,0.6446743235304295,0.5251313735923558,0.5830383551838221,0.8190550040201254,29.837853380492838,9.729090818625377,0.33148001971284197,0.31993388807521767,0.3514804965810521,0.6606282152044962,0.5408617701637484,0.613206708334227,0.812293763792658,24.00870484378771,7.944608231852591
18,0.3343986881556306,0.30512342359071126,0.36231148114075534,0.6507377031778324,0.5312149686569758,0.5900465582271154,0.8244394912543344,29.896166495147305,9.723705634199948,0.353486311424339,0.42034214240850304,0.35009603450380106,0.6593791671389244,0.5463594075283799,0.6348417571512668,0.7682443191537187,23.04555675792573,7.571299518760308
19,0.32382518604563604,0.2935542402223392,0.35186957518891426,0.6605135357538241,0.5406976693611871,0.5993322552936691,0.8332303918657075,27.58642502198727,8.749979610672437,0.35869183674397886,0.4871563443658445,0.3342524861592653,0.6736176506341001,0.5668733245370147,0.6686535147063877,0.746027194715526,19.498465189788362,6.608501136397619
20,0.31907124423876476,0.2850119128793668,0.3480715181376483,0.6640858246422195,0.5447718071709142,0.6004719472423531,0.8342345352588435,27.987532833536022,8.859147467688082,0.31281891673462514,0.349903188723943,0.3154709502732739,0.6968502481706833,0.5844029795158195,0.6667464838354462,0.7907509720018028,18.509773933751156,5.727191166926218
21,0.31424958763706284,0.2832871406305054,0.3421234087458855,0.6698249728173726,0.5510298022458635,0.6087882374387324,0.837595386387757,27.089091416913867,8.511027890420111,0.3113899924040901,0.31779080533021364,0.32268546035056495,0.6923651796086213,0.5770236153609054,0.6609320690072802,0.8089905465187395,18.436504337354414,5.945646389959122
22,0.3092961861664616,0.2773396539100592,0.3372341034332785,0.6743762592081992,0.5560506115494882,0.6137446678118683,0.8386670371258124,26.883084557052637,8.44957043768302,0.30672936043033455,0.3299828505018085,0.312140704943234,0.7004497282155829,0.5880827773891661,0.6776211851865729,0.7964552235581354,22.66970380833976,7.002057669407379
23,0.29791696598732603,0.2680361904132821,0.3249413898525632,0.6859784470658911,0.5678770799811886,0.6250656976986012,0.8473836077073353,25.81643060000409,8.093287184483865,0.3605624570439095,0.40961837167632703,0.3666494618982948,0.6389830147371995,0.5222902514501829,0.5879833017983732,0.7849294758896347,29.980397796842922,9.825904936052792
